Day,Month,Year,Obs,Sim
6,1,1953,37.3825,28.67527182
7,1,1953,37.3841,27.50651527
8,1,1953,33.9276,27.22145884
9,1,1953,33.5549,28.34922834
10,1,1953,34.3496,28.13317208
11,1,1953,32.5367,26.90302984
12,1,1953,31.7789,28.53515293
13,1,1953,29.13,28.41532187
14,1,1953,27.9853,27.14619105
15,1,1953,26.7988,25.63853074
16,1,1953,24.1593,24.01165581
17,1,1953,22.7042,22.42259101
18,1,1953,21.9018,21.01776214
19,1,1953,20.7995,19.80393839
20,1,1953,21.024,18.75906134
21,1,1953,21.1279,17.85531381
22,1,1953,21.7787,18.18609827
23,1,1953,21.8692,18.69268347
24,1,1953,21.5683,19.68262498
25,1,1953,20.1485,19.39260813
26,1,1953,19.5298,20.07367904
27,1,1953,18.8081,20.75790384
28,1,1953,19.0043,20.20845608
29,1,1953,18.1928,19.56805519
30,1,1953,17.2806,26.86799174
31,1,1953,23.6035,28.50040527
1,2,1953,30.777,27.50156065
2,2,1953,26.9192,25.68364321
3,2,1953,24.6066,23.39800727
4,2,1953,23.7258,21.65961828
5,2,1953,23.0828,20.0528533
6,2,1953,23.9185,18.71057813
7,2,1953,23.1275,17.99054224
8,2,1953,22.3391,22.94075652
9,2,1953,27.9631,29.16792725
10,2,1953,33.8668,33.11980811
11,2,1953,39.6216,32.74796575
12,2,1953,34.6069,30.50989972
13,2,1953,30.2607,33.60061332
14,2,1953,37.2733,34.61840975
15,2,1953,37.4736,33.31660259
16,2,1953,37.002,31.07652124
17,2,1953,36.0342,28.42056198
18,2,1953,34.4843,30.63553582
19,2,1953,34.0512,30.03156859
20,2,1953,35.8928,28.55062447
21,2,1953,33.6378,27.05632628
22,2,1953,31.79,25.3957398
23,2,1953,29.039,24.61739988
24,2,1953,29.0305,23.51731185
25,2,1953,27.2278,22.27091
26,2,1953,25.7615,21.10691165
27,2,1953,25.617,19.88103403
28,2,1953,24.2146,18.67869813
1,3,1953,23.8517,17.55749697
2,3,1953,23.1417,16.61662308
3,3,1953,22.3621,15.77929296
4,3,1953,21.009,15.07786753
5,3,1953,20.1234,14.43639695
6,3,1953,19.3784,13.83789793
7,3,1953,17.8959,13.26353995
8,3,1953,16.4264,12.69816327
9,3,1953,16.0255,12.18029802
10,3,1953,15.5044,11.65933466
11,3,1953,15.4871,11.12808965
12,3,1953,14.6067,10.69214923
13,3,1953,14.962,10.35088589
14,3,1953,13.9793,10.03200366
15,3,1953,13.5303,9.72215564
16,3,1953,14.9143,9.445974119
17,3,1953,15.1975,9.178892622
18,3,1953,14.5205,8.937846655
19,3,1953,14.8184,8.719146957
20,3,1953,14.1473,8.547048247
21,3,1953,12.9416,8.357057399
22,3,1953,12.3113,8.163053369
23,3,1953,11.0144,7.938350348
24,3,1953,10.8896,7.752438326
25,3,1953,11.7292,8.499632076
26,3,1953,11.8221,9.340862253
27,3,1953,11.9657,9.989820768
28,3,1953,12.283,10.39993012
29,3,1953,12.9906,10.33205817
30,3,1953,12.7774,10.06337392
31,3,1953,12.1209,10.24466205
1,4,1953,12.0768,10.37130161
2,4,1953,12.0535,10.72559288
3,4,1953,12.479,11.78962533
4,4,1953,11.8068,14.22157463
5,4,1953,11.7231,15.36196563
6,4,1953,12.0045,14.6847661
7,4,1953,11.4583,13.32895442
8,4,1953,10.7338,11.98153766
9,4,1953,9.61294,10.88351321
